freq,siec,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e	0.0000 e	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,LV	: 	8.6472 	8.7044 	13.8804 	14.5406 	10.5226 	8.7257 	11.2803 	10.7489 	12.686 	14.2346 	15.568 	14.0521 	13.9929 	13.45 	13.56 	13.77 	13.47 	11.78 	11.29 	10.49 	10.9067 	10.6955 	12.5048 	12.3797 	9.7448 	8.7451 	7.7734 	8.2612 	12.0131 	12.8343 	30.8537 	30.6847 	25.0240 	25.6291 	24.4397 	23.1132 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.8964 	8.7634 	8.3841 	8.1818 	8.5568 	8.6293 	7.0567 	8.0182 	8.2542 	8.3727 	8.4028 	7.2597 	6.7453 	13.0551 	23.3797 	30.0518 	30.0595 	24.8369 	22.7029 	23.2982 	26.5787 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3826 	14.1624 	11.3051 	16.8384 	16.6248 	15.9791 	15.1059 	12.6025 	13.5604 	15.8295 	33.6063 	38.8957 	28.7820 	25.3825 	26.8614 	28.7796 	33.8452 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,NL	20.1 	19.63 	19.37 	21.04 	22.49 	18.73 	18.89 	19.99 	19.15 	21.84 	20.57 	23.45 	21.96 	23.97 	21.91 	22.79 	21 	22.3 	21.65 	22.45 	22.5476 	24.7654 	24.1399 	26.5283 	26.8695 	28.7177 	28.8773 	30.1047 	27.9285 	32.4180 	35.7400 	53.4207 	54.2609 	42.9960 	45.7525 	47.1747 	44.9163 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,PL	: 	11.146 	11.5625 	14.2976 	10.8009 	12.7802 	11.8066 	14.0409 	12.8719 	13.8988 	13.0187 	15.9973 	13.0548 	14.1373 	13.5867 	13.8995 	13.9067 	13.844 	10.8795 	12.2648 	11.5706 	12.2726 	11.7608 	12.4965 	13.1310 	12.9059 	11.8064 	11.6451 	10.4510 	13.1277 	15.2502 	15.3646 	18.9640 	20.2791 	: @C	: @C	: @C
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,PT	: 	18.1295 	17.366 	17.477 	16.78 	16.5172 	16.491 	17.494 	16.95 	20.51 	20.52 	23.69 	23.23 	25.93 	25.96 	28.87 	27.11 	27.28 	25.35 	22.63 	21.47 	22.1855 	21.0716 	21.7695 	21.1189 	21.5646 	21.8115 	21.7370 	21.1719 	21.4586 	23.2423 	35.4713 	39.0672 	38.1651 	33.1135 	37.9479 	35.1402 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,RO	: 	9.5053 	9.2123 	9.3275 	8.1139 	7.454 	7.638 	7.7289 	7.8981 	7.6787 	7.5171 	7.6074 	7.9114 	8.5159 	8.5798 	8.8515 	8.6513 	9.4505 	9.2248 	8.9818 	8.4119 e	8.5515 e	8.9029 e	9.8326 e	9.6370 e	9.2313 	8.9980 e	8.8977 	8.7997 e	13.1898 e	16.9686 d	35.1387 d	15.2339 	15.5126 	16.1364 	15.0208 	15.5241 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.3797 	12.1956 	11.8775 	12.5175 	12.9555 	11.123 	10.4111 	9.0436 	8.9038 	9.4092 	9.2960 	9.5008 	9.3018 	9.6657 	9.3644 	9.5523 	9.3564 	9.5136 	9.3466 	: 	11.3326 	13.5765 	13.5532 	13.6769 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,SE	25.8724 	24.8003 	25.7977 	28.217 	24.268 	26.1208 	27.8848 	29.48 	32.9372 	32.3731 	32.6035 	35.2237 	34.088 	34.0087 	32.8982 	31.6274 	31.4312 	32.5847 	31.3541 	31.7324 	33.6762 	31.2593 	32.0246 	33.9655 	32.8557 	30.6869 	36.1235 	39.5037 	39.9512 	57.1805 	61.5534 e	76.4078 	60.8175 	57.4954 	48.8804 b	52.5866 	59.1111 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,SI	: 	14.14 	15.51 	19.77 	18.28 	14.96 	16.1768 	18.6846 	18.56 	22.01 	22.16 	20.28 	18.57 	19.71 	18.54 	17.61 	17.48 	16.91 	16.65 	15.64 	15.35 	14.7643 	15.1814 	16.0183 	15.8903 	15.5861 	16.2754 	15.2638 	15.1826 	16.3160 	19.1926 	26.1528 	26.9732 	30.7428 	27.0132 	25.2526 	23.5955 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,SK	: 	11.5132 	11.888 	12.9181 	12.829 	13.212 	12.111 	12.39 	12.93 	14.21 	14.32 	14.29 	13.85 	14.39 	14.1 	14.42 	13.78 	13.74 	12.78 	12.37 	11.7 	12.3582 	11.8680 	12.7560 	12.4680 	13.3540 	12.7040 	13.3260 	11.4100 	11.7520 	13.5520 	13.8530 	15.8510 	16.9610 	16.2430 	16.6760 	16.2940 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,TR	: 	9.1645 	9.0418 	12.9611 	10.8436 	8.5467 	8.9794 	9.3135 	8.019 	8.1511 	8.8412 	11.3501 	11.3538 	10.2967 	9.0523 	10.3609 	10.5087 	9.6389 	9.3251 	8.3598 	7.1767 	6.7631 	5.9880 	5.7983 	5.5325 	7.3086 	6.6503 	5.4015 	5.2567 	5.0476 	4.7256 	8.0811 	6.8237 	4.4612 	4.5176 	5.9136 	5.8102 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0423 	6.6002 	6.4222 	6.0408 	5.7928 	6.8990 	7.4172 	6.2965 	5.0284 	7.1753 	7.5955 	: 	: 	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,UK	: 	9.9104 	10.9869 	13.2855 	11.837 	11.8428 	11.2621 	11.7224 	11.8047 	14.5256 	14.4972 	16.0482 	14.7385 	16.3278 	16.6567 	17.9419 	17.6453 	18.5635 	15.3614 	13.9282 	13.0373 	13.3167 	12.9290 	14.3841 	13.7056 	13.9907 	13.2185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
